order_id,customer_name,customer_dob,customer_gender,order_date,order_cost
1429,JASON BROWN,1990/11/09,F,2023-01-31,98.20
#5387,john clark,2001/11/16,F,2020-10-28,68.31
#6048,KAREN DOE,1986/07/05,MALE,2021-11-01,153.88
10203,philip perez,1993-12-29,F,2020-07-30,36.81
#2959,jack kim,1997/02/20,FEMALE,2021/08/04,80.11
#10535,PETER ROSS,1978/04/23,M,2023/02/12,94.70
6609,marcia ray,1998/05/12,M,2021/08/22,186.32
#5734,SAMANTHA TAYLOR,1976-04-22,M,2021/04/16,191.63
#5166,bruna pereira,1999-12-10,MALE,2020/07/13,188.18
10192,marcia kim,1971/08/07,M,2021-03-01,188.90
4195,michelle white,1985-02-22,FEMALE,2020-06-12,179.50
#10364,PetER SMiTh,1998-09-08,M,2023-12-05,177.98
#2189,julia ray,2004/12/03,FEMALE,2021/10/29,147.62
6433,JERRY HUGHES,2005/10/19,M,2023-07-07,165.72
1442,julia pereira,1991-05-17,F,2023-10-21,57.76
10079,eMILy gREeN,1987/11/15,M,2021/08/01,150.10
#8333,kAREN rOchA,1972-08-18,F,2022/08/14,85.46
5605,MARCIA SMITH,1993/04/14,MALE,2023/07/28,174.69
4546,PetER JOHNson,2005/10/27,M,2020/12/28,19.58
#3842,MIKE RAY,1993-08-06,M,2022/04/16,147.98
#5776,JULIA DOE,1972/07/29,F,2021/11/11,49.59
#8515,PHILIP KIM,1989-04-10,MALE,2023-11-07,16.11
9293,MONICA JOHNSON,1980/02/07,M,2020/01/01,145.18
6211,mICheLlE mArTIns,2005-06-24,MALE,2021-11-29,84.71
#2628,DIANA CLARK,2003/09/06,FEMALE,2021-08-23,63.37
7163,DIANA BAKER,1972/04/03,FEMALE,2020-07-27,104.25
9403,peter white,1989/09/10,FEMALE,2020-12-21,143.77
#3811,michelle schmidt,1984/10/02,FEMALE,2020/03/22,54.07
#7857,PETER BLACK,1981-08-06,F,2023-10-14,41.02
7373,JasON pRicE,2003-11-30,MALE,2023-10-19,135.49
#6761,AMANDA PRICE,1987-09-02,M,2023/10/10,115.56
#9022,ROBeRT Ross,1981-09-08,M,2020-07-09,38.62
1950,renan ross,2003/03/06,FEMALE,2023/09/10,157.31
7129,JOSHUA SCHMIDT,2001-06-07,F,2022/08/21,165.59
5291,diana rocha,1973-05-27,MALE,2023-12-14,54.38
#9174,MeLISSA BaKeR,1987-11-21,F,2020/09/10,198.48
#9194,ANNA KIM,2005/04/27,FEMALE,2021-05-24,196.51
#2146,clara baker,1982/12/05,F,2022/07/31,37.57
7083,AMANdA hUgHes,1971/01/25,MALE,2021-01-13,22.54
#6822,mElIssA Perez,1982-10-01,M,2021/12/01,187.52
#1519,jerry kim,1995-01-16,MALE,2023/07/14,163.18
#1123,jERry peReIrA,1986-02-11,F,2022-10-27,128.77
#9457,robert thomas,1979/08/02,MALE,2022/01/04,74.59
6666,mike ross,1981/05/12,M,2021/04/19,143.94
#10549,marcia rocha,1975-04-14,FEMALE,2020/04/22,67.02
10817,clara price,1994-02-20,M,2020-01-10,41.43
9983,anna hughes,2005/07/09,F,2022/07/21,159.80
#8092,monica wilson,1981-04-07,MALE,2022-10-04,36.83
10878,jason hall,2000-06-12,M,2021/09/27,168.91
9551,derek nguyen,1979-03-14,FEMALE,2021-09-19,66.07
#2232,ANNA huGheS,2003/07/28,F,2021/01/02,96.39
4716,david hall,2004/02/08,MALE,2021-06-18,178.75
1685,JULIA ROCHA,2003-01-12,MALE,2022-10-10,41.45
#3129,DAVID YOUNG,1973-07-16,M,2021/06/30,167.26
#2942,emily baker,1977-02-20,FEMALE,2021-09-20,112.77
5471,robert thomas,1976-12-27,M,2022/01/21,184.87
#2800,ANNA DAVIS,1989/08/21,MALE,2020/03/21,82.13
8694,clara perez,1998/12/27,M,2023-08-02,107.98
#5034,anna ray,1999-04-10,MALE,2022/08/02,171.83
#9456,ARTHUR TAYLOR,1994/04/30,MALE,2020-07-15,136.83
#6945,julia doe,1999-12-05,FEMALE,2020-09-25,141.90
#10139,robert ray,2004/11/27,M,2021-09-20,167.55
#7074,DeRek bLACk,1994-04-20,M,2020/01/24,186.82
#8298,arthur brown,1974/04/15,F,2023/12/18,94.83
#10187,MICHELLE ROSS,2000/06/19,M,2023/01/22,164.09
3542,mOnIcA ROchA,2000/01/19,MALE,2023-04-25,20.94
4544,diana pereira,1973/03/27,F,2022/08/25,171.57
4118,derek white,1986/01/29,F,2020-09-10,193.27
#2594,dIaNA DOE,2004-01-27,MALE,2022/11/12,58.53
3160,AmAndA YOung,2001-02-03,F,2021-01-03,78.10
#9224,EMILY HALL,1976-12-03,MALE,2020/06/18,52.12
#10847,mOnicA HugHES,2003-10-26,M,2020-11-28,125.55
1853,ROBERT BLACK,1971-05-16,MALE,2023-05-08,159.64
9796,robert young,1970/02/01,F,2023-06-26,149.97
#5746,samantha taylor,1983-01-14,F,2021/05/10,180.28
2123,bruna kim,1976-12-24,F,2021/10/28,121.48
4236,peter wilson,2004/04/15,F,2020/06/15,178.86
#10477,ArThur NGuYeN,1999/08/08,M,2020/04/06,191.00
#7372,ANNA ROSS,2001/05/17,F,2023-02-11,65.44
#7618,PETER HALL,1990/09/08,F,2023-12-29,46.98
#4357,sarah hughes,1976/06/29,FEMALE,2022/03/13,163.68
#8132,anna black,1991-04-08,MALE,2022/11/18,151.19
8456,davId wHIte,1975/05/16,F,2023/01/09,96.42
#8870,ROBERT ROCHA,1979-04-21,FEMALE,2021/09/30,40.19
#10654,BRUNA hUghES,1986-01-11,FEMALE,2023/08/27,125.56
10845,janE SchmidT,1970-06-24,MALE,2020-02-06,75.08
4650,kaReN greEN,1996/06/30,MALE,2021/09/12,138.26
6898,melissa nguyen,1989-07-02,M,2022/09/02,118.47
#6987,SARAH HALL,1991-12-19,F,2021-04-30,64.58
#3731,MONICA SCOTT,2004/05/08,M,2022/05/06,188.80
9395,JACK whITE,1996/09/17,FEMALE,2020-04-16,153.50
#9530,emily clark,1998-07-03,FEMALE,2021/07/14,162.93
6918,CLaRa BROwN,1988/03/20,FEMALE,2021/12/09,35.84
#5661,lisA scHmIDT,1999/04/05,FEMALE,2020-09-19,19.38
#4995,marcia brown,1972-05-08,FEMALE,2021/07/04,156.96
#3188,AMANDA DOE,1999-07-16,FEMALE,2022/10/03,197.60
9596,JOHN THOMAS,2003-12-22,FEMALE,2023/12/20,117.93
10841,jane hall,1992-11-17,F,2022/02/15,109.15
#5818,dERek bakER,1995/07/18,M,2022-09-17,121.44
3721,MELISSA KIM,1991/04/22,MALE,2022/08/09,184.86
#9315,clara pereira,1970-05-24,FEMALE,2023-05-14,142.03
3236,CLARA ROCHA,1972/02/28,FEMALE,2020-11-11,151.31
#5211,MICHELLE DOE,1975-07-29,MALE,2022-01-05,173.12
5016,robert johnson,1977/01/15,FEMALE,2022-08-26,75.13
#3409,joshua clark,2005-04-02,MALE,2022/11/14,116.92
#3893,jErRY BAkeR,1995/04/21,FEMALE,2023/12/26,25.52
9026,JOSHUA WILSON,1974/11/13,MALE,2023-05-24,98.18
6354,JOHN HUGHES,1972-07-12,MALE,2020/06/13,194.12
8793,JOHN WILSON,1979/12/22,FEMALE,2022-09-12,82.87
5058,lisa rocha,1998/11/22,FEMALE,2020/07/27,23.29
7210,ANNA BROWN,1995/03/20,F,2023-04-25,198.87
#2771,Anna tAYLOr,1970/12/26,FEMALE,2022/03/11,36.73
7216,SARAH SCOTT,2004-02-15,MALE,2022-06-21,178.67
#4867,ANNA Doe,2005-05-24,FEMALE,2021/04/02,50.67
#9797,JANE PEREIRA,1977-04-24,M,2022-05-04,175.96
7924,EMILY DAVIS,2000-10-24,F,2022-03-02,123.24
9580,mOnica TAylOR,1991-12-03,FEMALE,2020-02-11,153.25
#9004,jack rocha,1987/09/04,MALE,2021-05-18,68.35
#3157,renan kim,2005-06-21,F,2023/12/09,149.45
2603,joshua johnson,1970/10/01,M,2020/11/02,21.51
#2635,MonICa pEREZ,1982-01-08,MALE,2023/11/04,84.92
8900,JERRY WHITE,1991-11-08,MALE,2022-01-01,136.92
#9710,jerry clark,1985/03/30,M,2022/10/27,163.75
6386,karen rocha,1970-10-10,FEMALE,2023-11-14,90.27
#10993,renan johnson,2001/07/15,FEMALE,2020-01-30,48.89
5367,claRa bakeR,1972-08-06,FEMALE,2022-01-15,101.51
4935,JOSHUA GREEN,1989-11-03,MALE,2022-04-01,130.43
#8710,renAn huGhES,2003/09/17,F,2020-12-03,199.53
5872,BRUna PRicE,1998-03-06,M,2022/02/23,133.56
2172,david smith,1985-05-09,FEMALE,2021/05/05,17.09
1559,KAREN WHITE,1990/11/30,MALE,2020/02/27,181.51
#9342,PHILIP JOHNSON,1997-03-30,F,2021/07/20,152.52
#1533,mike johnson,1971-12-24,M,2023-05-27,35.17
5213,sarah white,2002/11/11,M,2021-07-03,53.85
#3510,JULIA GREEN,1980-12-29,M,2020-04-09,187.36
8972,phILIP peReZ,1993/02/09,F,2020/11/02,195.11
#9920,jerry scott,1982/08/27,F,2023/08/15,62.75
#9410,RENAN KIM,2001/09/24,MALE,2023-03-28,103.04
1685,emily smith,1972-02-29,F,2021-10-05,47.18
2202,DIANA THOMAS,2005-10-02,FEMALE,2023/10/17,142.77
#7751,BRUNA HUGHES,1984/09/06,MALE,2023-09-07,110.73
6978,jason price,1991/09/20,FEMALE,2020-04-22,146.53
#6225,EMILY HUGHES,1997-06-22,F,2023/06/24,187.87
#3030,SARAH DOE,1998-12-08,F,2023-10-13,71.95
1479,MONICA BAKER,2003/12/25,M,2023/08/30,186.54
#4752,BRUNA DAVIS,1999/03/14,MALE,2020/10/04,50.66
#9372,PHILIP WHITE,2003/03/05,F,2020-05-15,164.10
#2302,ClARA Lee,1975-07-25,MALE,2023-08-12,12.16
#5866,mELissA gReEN,1975/02/03,M,2020/11/14,98.13
#4395,jERRY RAY,1992/06/15,F,2022/07/30,80.28
#8140,DEREK HUGHES,1983/03/03,M,2021/02/26,192.40
10585,david brown,2001-08-23,M,2021-02-28,28.27
#10226,KAREN ScHMidT,1991-06-27,F,2020/01/15,72.18
1983,ARTHUR GREEN,1977/05/24,M,2021-11-11,168.02
3483,peter lee,1987/09/17,FEMALE,2022/12/24,146.96
#8468,DAVID BLACK,1978/07/12,F,2020/07/11,143.17
9515,dAVId MARTins,2000-04-07,FEMALE,2023-10-15,109.64
10395,phiLip SchMiDT,1979/07/26,FEMALE,2022/08/22,119.65
1032,lisa carter,1995/10/04,MALE,2020-11-12,185.63
10905,amanda Smith,1980/11/27,F,2021-09-03,133.01
#10408,MIchElle gReEn,1997-08-08,F,2023-03-31,198.74
#5182,PHIliP haLl,1980/03/03,M,2021/04/02,165.77
#4389,MICHELLE PEREIRA,2001/07/09,F,2023/03/30,192.36
#4773,PETER LEE,1990/04/17,F,2023/04/17,97.71
#8619,renan black,1980/03/10,FEMALE,2023/04/28,114.78
9020,philip rocha,1971/11/26,FEMALE,2020/06/27,148.03
#6801,arTHuR DOE,1998-05-12,MALE,2023/12/18,29.28
#6450,JOsHuA maRTINS,1990/09/08,M,2022/01/29,85.80
4446,ARTHUR PEREZ,1981/06/18,F,2021/07/22,128.70
7529,RoBErt leE,1972/12/17,M,2020/08/25,70.44
#6216,mike green,2001/03/08,FEMALE,2020-06-25,34.17
6530,JULIA WHITE,2005-09-04,MALE,2023-04-29,26.35
#9214,DAVID TAYLOR,1970-11-10,F,2020/01/02,90.61
#10195,MArciA Kim,1979/03/07,F,2021/03/26,19.47
3784,miCHElLe WiLsON,1997-02-10,F,2022/11/17,136.54
8896,JULIA DAVIS,2002-03-26,FEMALE,2022/02/17,14.37
8163,JULIA PRICE,1999/03/18,FEMALE,2022/06/18,20.66
#4934,SARAH PEREIRA,1972/11/19,M,2021-10-31,105.59
7404,jAne BLACk,2004/07/08,FEMALE,2023-12-30,77.50
9848,pHIlIP gREen,2000/03/01,M,2021/06/05,12.29
2230,JASON raY,1992-03-11,M,2022/02/09,101.62
