order_id,customer_name,customer_dob,customer_gender,order_date,order_cost,payment_method
#4468,CLAra nGUyen,1984/10/24,FEMALE,2020/06/29,71.38,PIX
#4501,JERRY YOUNG,1980/03/24,M,2020-01-24,192.25,ONLINE_PAYMENT
#8365,EMILY YOUNG,1984-02-06,MALE,2021-01-29,71.86,DEBIT_CARD
#8567,michelle pereira,1982-04-25,FEMALE,2023/05/15,72.19,CREDIT_CARD
#9014,julia white,1973/08/23,FEMALE,2023/07/28,35.94,CREDIT_CARD
1960,SARAH BLACK,1976/06/11,MALE,2021-04-10,198.99,ONLINE_PAYMENT
#1795,karen price,1988/02/04,F,2021/03/10,36.18,CASH
2281,JANE NGUYEN,1984-09-09,MALE,2021-09-05,61.97,CREDIT_CARD
4945,JULIA BAKER,1996-05-19,MALE,2023-07-02,175.75,CASH
#9283,phILip smITH,1987/03/02,F,2022-06-07,129.29,PIX
#1675,samantha thomas,1994/03/21,FEMALE,2021-10-23,29.57,PIX
#2172,JACK PEREIRA,2002/11/21,FEMALE,2021/07/28,19.08,ONLINE_PAYMENT
1794,mONICA NguYEn,1993/10/06,MALE,2021/05/06,122.60,ONLINE_PAYMENT
3010,jack martins,1971/07/17,FEMALE,2023-08-26,155.50,CASH
9856,melissa wilson,1980-01-15,MALE,2022-09-09,29.76,DEBIT_CARD
1007,MONICA PRICE,1995/09/02,M,2023/02/24,77.58,DEBIT_CARD
5075,JOSHUA THOMAS,1995-08-11,M,2023/04/04,15.37,ONLINE_PAYMENT
#6992,JACK SCOTT,1982/09/17,F,2023/08/15,100.18,CASH
6839,michelle green,1999/02/02,MALE,2022/05/15,134.63,CASH
5569,JANE ROCHA,1989/06/23,MALE,2023-05-19,85.48,DEBIT_CARD
1053,mike schmidt,1992-02-05,F,2022/11/15,93.83,DEBIT_CARD
5904,david brown,2002/06/11,M,2021-01-19,43.86,ONLINE_PAYMENT
#3019,PETER CARTER,1974-04-23,FEMALE,2022-03-28,198.24,DEBIT_CARD
#8304,diana hall,1988-09-06,F,2020-10-16,155.76,CASH
#3607,CLARA WILSON,1992-10-10,M,2020-04-28,180.50,CREDIT_CARD
1368,CLARA ROCHA,1970-01-04,FEMALE,2022/08/23,149.58,CREDIT_CARD
#7368,ROBERT PEREIRA,1977/09/09,M,2023/06/02,101.80,PIX
10292,ArTHuR ROcHA,1980/06/23,M,2021-09-24,183.88,CASH
9824,jErry ScOtT,1972/11/14,FEMALE,2022-12-02,158.48,CASH
7047,claRA hugHeS,2001/02/28,M,2020-01-03,22.77,DEBIT_CARD
2297,DIANA BROWN,1975/12/15,F,2021/03/31,166.33,ONLINE_PAYMENT
4107,MicHElLe kiM,1977/09/07,M,2022/12/29,69.73,ONLINE_PAYMENT
1451,philip ray,1977-11-03,M,2021/10/26,114.34,DEBIT_CARD
10871,john taylor,1983-01-29,MALE,2020/04/06,99.84,ONLINE_PAYMENT
#7647,john doe,1996/03/03,M,2020-10-15,157.06,CASH
#2269,david hughes,1983-12-02,FEMALE,2022/06/21,51.37,CREDIT_CARD
#8646,ANNA RAY,1977/10/16,M,2020-11-24,172.44,PIX
7273,melissa green,1984/08/25,F,2023/05/10,38.80,PIX
#10311,derek taylor,1970/05/09,F,2020/11/21,72.33,CREDIT_CARD
3495,DIANA PEREIRA,1992-09-25,FEMALE,2023/10/27,14.13,CREDIT_CARD
6065,ARTHUR GREEN,1999/09/24,F,2021-06-14,187.84,CREDIT_CARD
7817,MONICA WHITE,1975-01-01,MALE,2022/01/03,180.33,PIX
6388,JOsHUA SchmidT,1981/06/10,F,2023/02/26,96.29,ONLINE_PAYMENT
#8312,KarEn pRICE,1993/06/14,F,2023-10-04,134.21,ONLINE_PAYMENT
#1426,robert baker,1970-10-02,MALE,2023/12/20,27.62,PIX
5663,SARAh WiLSON,1983/02/23,M,2020/06/17,54.71,PIX
3785,anna hall,2004/04/10,M,2023/04/01,151.83,ONLINE_PAYMENT
#8098,AmANDa cLARk,1979-04-25,M,2022-11-21,34.42,PIX
#4075,AnNa hUGHES,1974/10/30,MALE,2021-01-19,86.17,CREDIT_CARD
8451,AmAnda raY,1992-08-10,MALE,2022-10-19,133.77,CASH
#7257,lisa rocha,1973/09/19,F,2021/12/22,12.88,DEBIT_CARD
5103,julia young,1978-06-06,M,2021-09-10,162.20,PIX
4598,jane cARTER,1994-09-09,FEMALE,2023/09/11,98.28,CASH
5563,MONICA GREEN,1983-01-27,M,2023-06-14,146.54,DEBIT_CARD
#4035,sarah wilson,1970/08/17,F,2020-12-31,89.71,CREDIT_CARD
#6299,peter kim,1993/11/15,FEMALE,2020-03-26,27.48,DEBIT_CARD
#5767,JULIA PEREIRA,1998-03-15,MALE,2020/09/01,187.51,DEBIT_CARD
#2992,KAREN PEREZ,1992-08-18,FEMALE,2021/11/25,97.65,ONLINE_PAYMENT
10174,ARThUR cArTEr,1996-08-15,FEMALE,2020-12-07,65.33,CASH
7635,peter white,1986-04-14,FEMALE,2021-09-20,76.12,DEBIT_CARD
#1986,PHILIP WILSON,1980-01-28,F,2020/10/20,193.15,DEBIT_CARD
2403,LisA rAy,1980/02/08,MALE,2023-05-04,14.79,ONLINE_PAYMENT
2948,MICHELLE THOMAS,2005-07-21,F,2022/06/22,153.10,ONLINE_PAYMENT
#4938,jOHN wHItE,2001/03/01,M,2020/04/16,188.34,PIX
#1310,MOniCa Lee,1972-03-08,MALE,2022-05-28,86.69,ONLINE_PAYMENT
#3698,PETER ROSS,1974-09-16,MALE,2021/01/13,75.71,DEBIT_CARD
10213,SamanTha wHITe,1998/08/08,MALE,2021-02-08,144.95,PIX
8258,MONICA CARTER,1991-05-23,F,2020-03-14,141.72,CASH
10965,KAREN SMITH,1974-12-03,FEMALE,2022/02/04,101.30,DEBIT_CARD
#1524,ROBERT ROSS,1978-11-23,F,2022-10-24,20.23,CREDIT_CARD
8050,JERRY PRICE,2005-12-21,FEMALE,2022-09-06,92.24,CREDIT_CARD
1505,samAnthA SmIth,1994/08/22,F,2023-12-30,156.96,DEBIT_CARD
#6839,JULIA CARTER,1989-08-13,M,2022-08-18,12.17,CREDIT_CARD
#6416,CLARA ROCHA,1989-07-01,MALE,2023-01-03,50.78,CASH
7662,JOHN YOUNG,1977/09/09,FEMALE,2020-11-12,56.30,CASH
#4874,JOHN SMITH,1992-01-15,M,2020/10/26,90.88,DEBIT_CARD
5737,MELISSA DOE,1970/07/09,F,2021/01/03,131.48,DEBIT_CARD
#4684,arthUR sMitH,1970/06/29,M,2022-01-12,86.90,CASH
5754,amanda clark,1972/06/28,MALE,2020-02-29,196.87,CREDIT_CARD
#7129,BRUNA NGUYEN,1977-08-10,M,2021/07/16,168.12,ONLINE_PAYMENT
#2432,JErrY RocHA,1995/11/30,M,2021/11/04,198.43,ONLINE_PAYMENT
#9476,LISA cLArK,1979-05-28,FEMALE,2023/12/15,128.34,PIX
#9001,JUliA thOmAS,1980/11/12,MALE,2022-08-16,142.61,CREDIT_CARD
6234,JAnE wIlSon,1981-05-06,FEMALE,2021/12/18,186.00,PIX
1873,emily baker,1984/07/16,F,2021-11-04,103.15,PIX
1406,BRUNA TAYLOR,1981-08-01,FEMALE,2023-12-02,159.70,ONLINE_PAYMENT
4621,philip wilson,1987/08/26,M,2022/03/18,83.73,CREDIT_CARD
7135,DAVID GREEN,1976/11/06,M,2022/08/08,86.34,CREDIT_CARD
#2135,mICHelLe SmITh,1985/02/04,M,2023/07/02,178.71,CREDIT_CARD
#9790,JANe DoE,1986/08/30,FEMALE,2020/08/04,180.85,ONLINE_PAYMENT
7629,JaCK BroWN,2002/11/02,F,2021-12-06,27.83,PIX
#10035,amanda lee,1991/05/14,FEMALE,2021/03/28,47.41,CASH
#4115,diana young,2003/08/04,M,2023-09-08,113.64,CASH
5090,john ross,1998-01-17,M,2023-09-16,32.25,ONLINE_PAYMENT
5147,MELISsA bAKER,1999/12/09,MALE,2022-03-26,126.00,PIX
5201,ROBERT ROSS,1981-08-22,M,2020-07-14,106.00,PIX
8470,SAMAnTha RaY,1979-03-20,F,2022/09/22,62.99,PIX
10433,jULiA nguyeN,1981-04-13,MALE,2021/12/01,78.46,CASH
#10578,jane white,2005/06/01,F,2020-12-07,109.65,ONLINE_PAYMENT
#6522,PETER SCHMIDT,1979-12-31,M,2020-02-02,164.52,CREDIT_CARD
9573,SAMANTHA BAKER,1988/11/15,MALE,2020/08/30,141.54,PIX
#8617,marcia hall,2000-11-12,F,2021/05/01,199.67,PIX
#3827,DEREK KIM,1995/08/25,M,2021-06-24,91.07,PIX
8570,rEnAn SCOTT,1988/10/04,M,2022-07-17,70.11,PIX
2507,JERRY SCOTT,2003-02-19,MALE,2023-10-16,132.76,ONLINE_PAYMENT
2322,sarah clark,1996-05-11,FEMALE,2020-12-17,197.13,DEBIT_CARD
6977,julia brown,1973-09-04,M,2020-11-03,179.12,CREDIT_CARD
7669,john doe,1985/06/19,MALE,2022-05-16,26.26,DEBIT_CARD
7396,MELissa kim,1994-09-08,MALE,2022-01-16,125.45,CASH
1979,samantha ray,1979/01/09,M,2022/05/12,98.61,ONLINE_PAYMENT
#1762,JULIA KIM,1999/06/01,FEMALE,2021/02/05,76.88,ONLINE_PAYMENT
#6562,ANNA ROSS,1994/03/08,F,2021-06-11,46.65,ONLINE_PAYMENT
#1928,MIcHElle peReIrA,1991/03/02,MALE,2023/09/07,30.72,ONLINE_PAYMENT
8917,RobERT TAYlor,1980/07/24,F,2021/02/14,61.25,PIX
8128,EMILY BROWN,1976/05/05,F,2020-07-26,129.52,CASH
9346,DIANA JOHNSON,1989-06-30,M,2020-08-29,47.68,DEBIT_CARD
10308,rOBeRt SmiTh,1990/01/13,MALE,2023/01/22,146.30,CREDIT_CARD
6001,robert nguyen,1978-09-01,F,2022/04/14,167.08,CASH
#3216,jason brown,1998-04-20,FEMALE,2020-12-14,46.11,ONLINE_PAYMENT
#5507,PETER SCOTT,1974-04-29,M,2023-04-04,85.91,PIX
#2815,clARa PErEIrA,1972/06/28,FEMALE,2021-01-08,180.98,ONLINE_PAYMENT
#9717,miCHeLLe pEReZ,2005/11/25,M,2022/07/11,28.30,PIX
#5554,EMILY BLACK,1994-10-10,M,2020/01/31,125.61,DEBIT_CARD
#10101,bruna price,1980/04/12,F,2023-09-30,114.40,PIX
10207,CLARA SMITH,1975/06/21,FEMALE,2021/03/29,195.72,ONLINE_PAYMENT
#7558,MICHELLE WHITE,1997-04-16,F,2021-06-27,81.04,DEBIT_CARD
3687,jane cartER,1978-11-11,MALE,2022-07-01,81.19,PIX
1403,marcia pereira,2004-03-01,FEMALE,2021/01/16,155.34,DEBIT_CARD
#8218,JERRY BAKER,1987-02-25,FEMALE,2020/11/29,191.68,ONLINE_PAYMENT
#5233,RENAN HUGHES,1981/11/25,FEMALE,2020/12/15,192.90,CASH
1958,sAraH ScHmiDt,1976/09/21,FEMALE,2021-05-08,171.19,ONLINE_PAYMENT
#1850,EMILY BAKER,2001-05-08,F,2021-09-23,143.08,DEBIT_CARD
4282,SARAH SMITH,1980/08/17,FEMALE,2020/04/06,53.92,CASH
#5351,derek black,1998/04/24,MALE,2021/05/25,46.84,DEBIT_CARD
#8454,DEREK BROWN,2002-07-15,FEMALE,2022-08-29,129.02,ONLINE_PAYMENT
3270,samantha martins,1987/01/04,F,2021/06/09,111.70,DEBIT_CARD
8472,philip price,1978/06/08,F,2023-04-17,16.33,PIX
10172,PETER PEREIRA,1971-08-23,F,2022/11/30,87.83,ONLINE_PAYMENT
5241,EMILY PRICE,1997-07-19,MALE,2020/06/14,81.13,CREDIT_CARD
#5954,MELISSA SCOTT,1996-07-21,MALE,2022-07-25,164.27,ONLINE_PAYMENT
#6117,karen brown,1987/10/04,FEMALE,2020-11-19,71.79,CREDIT_CARD
9354,dErek LEE,1991-09-02,F,2022/08/15,14.05,ONLINE_PAYMENT
#1106,clara hall,1988-12-14,FEMALE,2021-03-18,95.10,PIX
#8597,ARTHUR BAKER,1993-06-27,MALE,2021-10-22,69.88,CREDIT_CARD
4554,DAVID MARTINS,1979-05-26,M,2022/10/24,77.00,DEBIT_CARD
2661,SAMANTHA CLARK,1974-04-10,MALE,2021-09-15,130.10,CREDIT_CARD
#2578,ANNA CARTER,1993/08/03,F,2021-03-17,101.64,CASH
3339,jack ray,1974/09/29,M,2021/09/05,93.22,CREDIT_CARD
#3979,sarah price,1983/03/22,FEMALE,2023-12-28,31.95,ONLINE_PAYMENT
1823,MICHelLE gReEN,1978-05-17,MALE,2023/12/22,195.07,ONLINE_PAYMENT
#2828,RENAN SCOTT,1997-11-20,F,2020-05-27,51.10,ONLINE_PAYMENT
#8384,aRthuR Clark,1992-08-12,MALE,2023-05-07,50.81,ONLINE_PAYMENT
3327,eMILy brOwN,1987/03/07,FEMALE,2022/12/26,146.26,PIX
#10526,JAsON schmIDT,1977-11-21,F,2023/08/12,35.04,CREDIT_CARD
5542,diana joHnsON,1987/03/06,F,2020-10-21,112.98,CASH
3270,DIANA PEREZ,2005/05/14,MALE,2020/12/08,72.99,ONLINE_PAYMENT
4519,CLARA SMITH,2002-03-14,MALE,2020-11-28,180.64,DEBIT_CARD
#6771,rOBerT price,2005-07-05,F,2020/11/21,74.98,ONLINE_PAYMENT
#4325,JaSON jOhNsOn,1979-08-10,M,2021-12-04,116.51,ONLINE_PAYMENT
#1095,jack clark,1975-03-22,F,2020/02/12,159.36,PIX
#7839,PHILIP NGUYEN,2004-01-05,M,2022-11-21,123.02,ONLINE_PAYMENT
8798,amanda clark,1996-01-26,MALE,2023/09/11,125.27,CREDIT_CARD
1600,emily SCOTt,1988/06/05,M,2022/05/28,84.16,CREDIT_CARD
4309,JASon kim,1982/02/18,M,2022/08/23,82.31,ONLINE_PAYMENT
4550,JERRY PEREZ,1995/07/12,FEMALE,2023/11/26,90.54,DEBIT_CARD
#2969,renan nguyen,1986-04-28,M,2020/12/26,124.89,CREDIT_CARD
#1840,peter martins,1977/07/03,F,2022/02/09,59.97,DEBIT_CARD
7268,eMiLY lEe,1978-06-11,F,2022/05/15,173.29,CREDIT_CARD
#1280,mELissa PErEz,1977/01/25,F,2023-06-29,112.35,ONLINE_PAYMENT
#1283,monica doe,1997-10-02,F,2020/10/17,69.54,CREDIT_CARD
4603,jane green,2000/09/20,MALE,2021/06/01,131.25,CASH
#8991,SARAH ROSS,1992/09/30,MALE,2021/03/30,11.66,DEBIT_CARD
#1611,DEREK ROSS,2005/05/27,MALE,2020/05/24,187.22,CASH
#3715,jerry taylor,1977-04-20,F,2023/07/02,87.66,ONLINE_PAYMENT
10212,arTHur bLack,1988-02-27,FEMALE,2022/08/07,135.12,ONLINE_PAYMENT
4489,dIanA CaRtER,1979-12-08,FEMALE,2023/06/09,26.06,CREDIT_CARD
6024,derek wilson,1997/02/17,FEMALE,2021-02-06,37.07,DEBIT_CARD
2330,lisa young,1976/01/17,M,2023/11/23,154.35,CASH
10252,JANE DAVIS,1997/12/25,M,2022/03/06,145.35,ONLINE_PAYMENT
#1917,DAVID DOE,1972/03/14,MALE,2020-02-07,135.45,CASH
#10069,michelle clark,1996-10-23,F,2020/09/27,165.83,CREDIT_CARD
#5073,bruna white,1975-08-23,M,2022/10/24,80.66,DEBIT_CARD
#6222,anna thomas,1993/04/24,MALE,2023-12-16,90.97,PIX
2513,robert scott,1979/08/01,MALE,2020/01/09,151.74,CREDIT_CARD
#8575,emily taylor,1996-12-03,F,2023/04/05,102.26,DEBIT_CARD
#9182,robert black,2000-03-14,MALE,2021/12/06,99.58,DEBIT_CARD
#6239,sarah price,1995-07-03,M,2021/09/12,185.95,CASH
9278,JErRY PErez,1985/12/31,FEMALE,2022-04-26,145.78,CREDIT_CARD
2171,diana schmidt,1985-12-13,MALE,2022-08-20,114.84,ONLINE_PAYMENT
3355,AnnA HaLL,1975/05/22,F,2022-03-25,96.55,DEBIT_CARD
8385,PHilIP wHiTE,1991/12/03,FEMALE,2021/11/27,13.25,CASH
#5491,AMANDA DAVIS,1974-02-13,F,2022/08/04,197.35,ONLINE_PAYMENT
#3041,arThUR bAkeR,1991-02-26,F,2023/02/07,143.68,PIX
#3676,mELISSa MaRtIns,1981-10-12,F,2022-07-25,63.58,CREDIT_CARD
#8127,JOHN BAKER,1990/06/24,FEMALE,2021-03-14,156.16,ONLINE_PAYMENT
2829,MONICA PEREIRA,1999/06/18,MALE,2022-09-29,33.90,PIX
1100,JASON PEREIRA,1979/07/27,MALE,2020-01-05,187.44,CREDIT_CARD
#2151,JACK BROWN,1999/04/03,FEMALE,2020/02/19,25.80,CREDIT_CARD
#2933,DAVID TAYLOR,1977-04-29,FEMALE,2021/09/21,83.76,CASH
6624,michelle thomas,1973/10/24,FEMALE,2021-06-22,30.61,CREDIT_CARD
#8044,DAVID MARTINS,1995/04/29,MALE,2020/10/15,128.97,ONLINE_PAYMENT
#9221,amanda taylor,2004-01-01,M,2022-04-17,77.37,DEBIT_CARD
#8013,DEREK SCOTT,1973/05/11,F,2020/12/13,27.25,ONLINE_PAYMENT
1046,PHILIP SCOTT,1982/08/13,FEMALE,2023/05/01,52.28,DEBIT_CARD
4569,derek thomas,1998-07-29,FEMALE,2022-08-19,168.60,CASH
#5504,john carter,1977-01-02,F,2021/10/23,56.27,DEBIT_CARD
2182,jason ray,2005/06/10,F,2021/11/02,126.52,ONLINE_PAYMENT
#7233,JERRY PEREZ,1996/07/26,MALE,2020-01-30,131.92,PIX
#10913,CLarA kIm,1978-11-02,F,2022/07/06,95.99,CASH
9675,DAVID JOHNSON,1981-10-01,FEMALE,2021/10/31,145.63,CASH
#5102,RENAN DOE,1987-11-09,M,2023-05-12,75.51,CREDIT_CARD
#9456,jack thomas,1982/02/22,F,2021/09/27,151.28,DEBIT_CARD
1030,arthur johnson,1999-11-22,FEMALE,2020/12/19,96.56,CASH
2870,jUlIA kIm,1989-10-29,F,2022-02-19,92.16,CREDIT_CARD
6036,MICHELLE WILSON,2003/12/11,M,2023-01-06,173.14,ONLINE_PAYMENT
7397,LISA NGUYEN,1980-12-17,F,2020-11-01,172.50,CASH
6676,JOSHUA DOE,1971/07/14,FEMALE,2021-12-27,182.82,PIX
6700,SAMANTHA PRICE,1985/05/07,FEMALE,2023/11/13,95.18,ONLINE_PAYMENT
#10104,ARTHUR TAYLOR,1971-02-06,F,2022/11/14,23.19,CASH
2373,philip green,1991/05/10,M,2023/09/17,85.81,CREDIT_CARD
#8494,JULIA HUGHES,1984-08-13,M,2023/01/06,72.72,ONLINE_PAYMENT
#2783,anna thomas,1978-04-26,M,2021-01-22,103.85,ONLINE_PAYMENT
1649,JOHn lEe,1972/10/04,M,2022-02-26,197.08,ONLINE_PAYMENT
#6950,JaCK WHItE,1991/06/30,FEMALE,2022-11-13,112.95,DEBIT_CARD
#2695,jerry martins,2005/07/02,FEMALE,2020/10/10,146.35,DEBIT_CARD
#8226,clara pereira,1980/01/29,M,2023-11-08,152.55,DEBIT_CARD
#4461,CLARA BROWN,1998/04/25,FEMALE,2020/08/02,178.22,DEBIT_CARD
#3895,DEREK SMITH,1974-03-07,MALE,2021-06-05,35.88,CREDIT_CARD
#9765,moNICa JOhNsOn,1990-10-14,F,2020-03-08,110.96,CASH
4536,JAsoN nGUYEN,1992/05/25,F,2022/03/24,162.15,DEBIT_CARD
#7182,CLARA PRICE,1999-10-28,FEMALE,2021-07-30,134.62,PIX
#10346,marCIa doE,1986/07/21,F,2021-11-25,20.56,PIX
#5586,JASON CARTER,1982-05-18,F,2020-11-08,82.49,DEBIT_CARD
#1957,AMANDA CARTER,1976-01-15,MALE,2020-11-14,191.86,CASH
#7334,Philip hughEs,2002/03/11,FEMALE,2020/03/16,146.30,DEBIT_CARD
#10523,joHn mArTINs,1972-09-22,FEMALE,2021/09/11,173.77,CASH
#1068,ROBERT BLACK,1971/02/11,FEMALE,2023-11-09,18.66,PIX
1099,lisa kim,1984-07-16,MALE,2023-12-23,65.52,CASH
4405,MELISSA GREEN,1974/07/28,M,2020/03/04,29.28,CREDIT_CARD
10270,Peter HuGhEs,1987-04-19,F,2023/08/23,29.22,PIX
8485,peter scott,1998/01/05,F,2021-09-29,96.94,DEBIT_CARD
#7239,MIKE PEREZ,1994-07-15,M,2020-09-05,167.68,CREDIT_CARD
#7340,jack hUGHes,1990/03/20,MALE,2023-05-31,141.23,ONLINE_PAYMENT
#1053,Derek Perez,1992/03/05,M,2023/05/28,168.52,CREDIT_CARD
#4752,john brown,1992/07/23,MALE,2022/04/22,33.50,ONLINE_PAYMENT
1427,CLARA TAYLOR,1973/06/04,FEMALE,2023/06/19,187.59,DEBIT_CARD
#9786,PEteR lEE,1996/01/07,M,2023-03-26,60.31,CASH
3754,JOHN BROWN,1974-10-28,F,2021-04-12,24.75,PIX
#6159,ROBERT YOUNG,1984-06-30,M,2021-06-10,13.45,DEBIT_CARD
10366,robErt leE,2003-10-29,M,2023/02/26,173.99,CASH
5286,MIKE KIM,1986-04-28,F,2021-03-08,114.42,ONLINE_PAYMENT
3480,MaRciA grEEn,1991-08-02,FEMALE,2021/12/03,50.18,DEBIT_CARD
